Advisory,Impact,CVE,Last Updated,Version
"Cisco Smart Software Manager Satellite Open Redirect Vulnerability
Medium
CVE-2021-1218
2021 Jan 20 1.0",Medium,CVE-2021-1218,2021 Jan 20,1.0
"Cisco Smart Software Manager Satellite SQL Injection Vulnerability
Medium
CVE-2021-1222
2021 Jan 20 1.0",Medium,CVE-2021-1222,2021 Jan 20,1.0
"Cisco StarOS IPv4 Denial of Service Vulnerability
Medium
CVE-2021-1353
2021 Jan 20 1.0",Medium,CVE-2021-1353,2021 Jan 20,1.0
"Cisco Expressway Software TURN Server Configuration Issue
Informational
CVE-2020-3482
2021 Jan 20 2.0",Informational,CVE-2020-3482,2021 Jan 20,2.0
"Cisco Small Business RV110W, RV130, RV130W, and RV215W Routers Remote Command Execution and Denial of Service Vulnerabilities
Critical
CVE-2021-1159
CVE-2021-1160 ...
2021 Jan 19 2.0",Critical,"CVE-2021-1159
CVE-2021-1160 ...",2021 Jan 19,2.0
"Cisco IP Phone TCP Packet Flood Denial of Service Vulnerability
High
CVE-2020-3574
2021 Jan 19 1.2",High,CVE-2020-3574,2021 Jan 19,1.2
"Cisco AnyConnect Secure Mobility Client for Windows DLL Injection Vulnerability
High
CVE-2021-1237
2021 Jan 14 1.1",High,CVE-2021-1237,2021 Jan 14,1.1
"Cisco Small Business RV110W, RV130, RV130W, and RV215W Routers Management Interface Stored Cross-Site Scripting Vulnerabilities
Medium
CVE-2021-1151
CVE-2021-1152 ...
2021 Jan 14 1.1",Medium,"CVE-2021-1151
CVE-2021-1152 ...",2021 Jan 14,1.1
"Cisco Small Business RV110W, RV130, RV130W, and RV215W Routers Management Interface Command Injection Vulnerabilities
High
CVE-2021-1146
CVE-2021-1147 ...
2021 Jan 13 1.0",High,"CVE-2021-1146
CVE-2021-1147 ...",2021 Jan 13,1.0
"Cisco Connected Mobile Experiences Privilege Escalation Vulnerability
High
CVE-2021-1144
2021 Jan 13 1.0",High,CVE-2021-1144,2021 Jan 13,1.0
"Cisco Webex Meetings Open Redirect Vulnerability
Medium
CVE-2021-1310
2021 Jan 13 1.0",Medium,CVE-2021-1310,2021 Jan 13,1.0
"Cisco Webex Meetings and Cisco Webex Meetings Server Host Key Brute Forcing Vulnerability
Medium
CVE-2021-1311
2021 Jan 13 1.0",Medium,CVE-2021-1311,2021 Jan 13,1.0
"Cisco StarOS for Cisco ASR 5000 Series Routers Arbitrary File Read Vulnerability
Medium
CVE-2021-1145
2021 Jan 13 1.0",Medium,CVE-2021-1145,2021 Jan 13,1.0
"Cisco Proximity Desktop for Windows DLL Hijacking Vulnerability
Medium
CVE-2021-1240
2021 Jan 13 1.0",Medium,CVE-2021-1240,2021 Jan 13,1.0
"Cisco Enterprise NFV Infrastructure Software Cross-Site Scripting Vulnerability
Medium
CVE-2021-1127
2021 Jan 13 1.0",Medium,CVE-2021-1127,2021 Jan 13,1.0
"Cisco Video Surveillance 8000 Series IP Cameras Cisco Discovery Protocol Denial of Service Vulnerability
Medium
CVE-2021-1131
2021 Jan 13 1.0",Medium,CVE-2021-1131,2021 Jan 13,1.0
"Cisco Firepower Management Center XML Entity Expansion Vulnerability
Medium
CVE-2021-1267
2021 Jan 13 1.0",Medium,CVE-2021-1267,2021 Jan 13,1.0
"Cisco Firepower Management Center Stored Cross-Site Scripting Vulnerabilities
Medium
CVE-2021-1238
CVE-2021-1239
2021 Jan 13 1.0",Medium,"CVE-2021-1238
CVE-2021-1239",2021 Jan 13,1.0
"Cisco Firepower Management Center Information Disclosure Vulnerability
Medium
CVE-2021-1126
2021 Jan 13 1.0",Medium,CVE-2021-1126,2021 Jan 13,1.0
"Cisco DNA Center Cross-Site Scripting Vulnerability
Medium
CVE-2021-1130
2021 Jan 13 1.0",Medium,CVE-2021-1130,2021 Jan 13,1.0
"Cisco Unified Communications Products Information Disclosure Vulnerability
Medium
CVE-2021-1226
2021 Jan 13 1.0",Medium,CVE-2021-1226,2021 Jan 13,1.0
"Cisco Connected Mobile Experiences User Enumeration Vulnerability
Medium
CVE-2021-1143
2021 Jan 13 1.0",Medium,CVE-2021-1143,2021 Jan 13,1.0
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software Remote Code Execution Vulnerability
High
CVE-2019-15992
2021 Jan 11 2.6",High,CVE-2019-15992,2021 Jan 11,2.6
"SolarWinds Orion Platform Supply Chain Attack
Informational
2020 Dec 18 1.3",Informational,,2020 Dec 18,1.3
"Cisco SD-WAN Software Packet Filtering Bypass Vulnerability
Medium
CVE-2020-3444
2020 Dec 14 1.1",Medium,CVE-2020-3444,2020 Dec 14,1.1
"Cisco Jabber Desktop and Mobile Client Software Vulnerabilities
Critical
CVE-2020-26085
CVE-2020-27127 ...
2020 Dec 10 1.0",Critical,"CVE-2020-26085
CVE-2020-27127 ...",2020 Dec 10,1.0
"Cisco Webex Meetings and Cisco Webex Meetings Server Ghost Join Vulnerability
Medium
CVE-2020-3419
2020 Dec 10 1.4",Medium,CVE-2020-3419,2020 Dec 10,1.4
"Cisco IOS and IOS XE Software PROFINET Link Layer Discovery Protocol Denial of Service Vulnerability
High
CVE-2020-3512
2020 Dec 09 1.2",High,CVE-2020-3512,2020 Dec 09,1.2
"Cisco IOS and IOS XE Software PROFINET Denial of Service Vulnerability
High
CVE-2020-3409
2020 Dec 09 1.2",High,CVE-2020-3409,2020 Dec 09,1.2
"Cisco IOS XR Software Enhanced Preboot eXecution Environment Unsigned Code Execution Vulnerability
High
CVE-2020-3284
2020 Dec 01 1.3",High,CVE-2020-3284,2020 Dec 01,1.3
"Cisco Webex Meetings and Cisco Webex Meetings Server Unauthorized Audio Information Exposure Vulnerability
Medium
CVE-2020-3471
2020 Nov 23 1.2",Medium,CVE-2020-3471,2020 Nov 23,1.2
"Cisco Webex Meetings and Cisco Webex Meetings Server Information Disclosure Vulnerability
Medium
CVE-2020-3441
2020 Nov 23 1.2",Medium,CVE-2020-3441,2020 Nov 23,1.2
"Cisco Security Manager Path Traversal Vulnerability
Critical
CVE-2020-27130
2020 Nov 20 1.1",Critical,CVE-2020-27130,2020 Nov 20,1.1
"Cisco Integrated Management Controller Multiple Remote Code Execution Vulnerabilities
Critical
CVE-2020-3470
2020 Nov 18 1.0",Critical,CVE-2020-3470,2020 Nov 18,1.0
"Cisco DNA Spaces Connector Command Injection Vulnerability
Critical
CVE-2020-3586
2020 Nov 18 1.0",Critical,CVE-2020-3586,2020 Nov 18,1.0
"Cisco IoT Field Network Director Unauthenticated REST API Vulnerability
Critical
CVE-2020-3531
2020 Nov 18 1.0",Critical,CVE-2020-3531,2020 Nov 18,1.0
"Cisco IoT Field Network Director SOAP API Authorization Bypass Vulnerability
High
CVE-2020-26072
2020 Nov 18 1.0",High,CVE-2020-26072,2020 Nov 18,1.0
"Cisco IoT Field Network Director Missing API Authentication Vulnerability
High
CVE-2020-3392
2020 Nov 18 1.0",High,CVE-2020-3392,2020 Nov 18,1.0
"Cisco Webex Meetings API Cross-Site Scripting Vulnerability
Medium
CVE-2020-27126
2020 Nov 18 1.0",Medium,CVE-2020-27126,2020 Nov 18,1.0
"Cisco Telepresence CE Software and RoomOS Software Unauthorized Token Generation Vulnerability
Medium
CVE-2020-26068
2020 Nov 18 1.0",Medium,CVE-2020-26068,2020 Nov 18,1.0
"Cisco IoT Field Network Director Cross-Site Scripting Vulnerabilities
Medium
CVE-2020-26081
2020 Nov 18 1.0",Medium,CVE-2020-26081,2020 Nov 18,1.0
"Cisco IoT Field Network Director Improper Domain Access Control Vulnerability
Medium
CVE-2020-26080
2020 Nov 18 1.0",Medium,CVE-2020-26080,2020 Nov 18,1.0
"Cisco IoT Field Network Director Information Disclosure Vulnerability
Medium
CVE-2020-26076
2020 Nov 18 1.0",Medium,CVE-2020-26076,2020 Nov 18,1.0
"Cisco IoT Field Network REST API Insufficient Input Validation Vulnerability
Medium
CVE-2020-26075
2020 Nov 18 1.0",Medium,CVE-2020-26075,2020 Nov 18,1.0
"Cisco IoT Field Network Director Unprotected Storage of Credentials Vulnerability
Medium
CVE-2020-26079
2020 Nov 18 1.0",Medium,CVE-2020-26079,2020 Nov 18,1.0
"Cisco IoT Field Network Director File Overwrite Vulnerability
Medium
CVE-2020-26078
2020 Nov 18 1.0",Medium,CVE-2020-26078,2020 Nov 18,1.0
"Cisco IoT Field Network Director Improper Access Control Vulnerability
Medium
CVE-2020-26077
2020 Nov 18 1.0",Medium,CVE-2020-26077,2020 Nov 18,1.0
"Cisco Security Manager Static Credential Vulnerability
High
CVE-2020-27125
2020 Nov 16 1.0",High,CVE-2020-27125,2020 Nov 16,1.0
"Cisco SD-WAN vManage Software XML External Entity Vulnerability
Medium
CVE-2020-26066
2020 Nov 09 1.1",Medium,CVE-2020-26066,2020 Nov 09,1.1
"Cisco Webex Meetings Desktop App Arbitrary Code Execution Vulnerability
High
CVE-2020-3588
2020 Nov 04 1.0",High,CVE-2020-3588,2020 Nov 04,1.0
"Cisco Webex Network Recording Player and Cisco Webex Player Arbitrary Code Execution Vulnerabilities
High
CVE-2020-3573
CVE-2020-3603 ...
2020 Nov 04 1.0",High,"CVE-2020-3573
CVE-2020-3603 ...",2020 Nov 04,1.0
"Cisco SD-WAN Software Arbitrary File Creation Vulnerability
High
CVE-2020-26071
2020 Nov 04 1.0",High,CVE-2020-26071,2020 Nov 04,1.0
"Cisco SD-WAN vManage Software Privilege Escalation Vulnerability
High
CVE-2020-26074
2020 Nov 04 1.0",High,CVE-2020-26074,2020 Nov 04,1.0
"Cisco SD-WAN vManage Software Directory Traversal Vulnerability
High
CVE-2020-26073
2020 Nov 04 1.0",High,CVE-2020-26073,2020 Nov 04,1.0
"Cisco SD-WAN Software Privilege Escalation Vulnerability
High
CVE-2020-3594
2020 Nov 04 1.0",High,CVE-2020-3594,2020 Nov 04,1.0
"Cisco SD-WAN Software Privilege Escalation Vulnerability
High
CVE-2020-3600
2020 Nov 04 1.0",High,CVE-2020-3600,2020 Nov 04,1.0
"Cisco SD-WAN Software Privilege Escalation Vulnerability
High
CVE-2020-3595
2020 Nov 04 1.0",High,CVE-2020-3595,2020 Nov 04,1.0
"Cisco Webex Teams Web Interface Cross-Site Scripting Vulnerability
Medium
CVE-2020-26067
2020 Nov 04 1.0",Medium,CVE-2020-26067,2020 Nov 04,1.0
"Cisco SD-WAN vManage Software Cross-Site Scripting Vulnerability
Medium
CVE-2020-3579
2020 Nov 04 1.0",Medium,CVE-2020-3579,2020 Nov 04,1.0
"Cisco SD-WAN vManage Cross-Site Scripting Vulnerability
Medium
CVE-2020-3591
2020 Nov 04 1.0",Medium,CVE-2020-3591,2020 Nov 04,1.0
"Cisco SD-WAN vManage Software Cross-Site Scripting Vulnerability
Medium
CVE-2020-3587
2020 Nov 04 1.0",Medium,CVE-2020-3587,2020 Nov 04,1.0
"Cisco SD-WAN vManage Software Cross-Site Scripting Vulnerability
Medium
CVE-2020-3590
2020 Nov 04 1.0",Medium,CVE-2020-3590,2020 Nov 04,1.0
"Cisco SD-WAN vManage Software XML External Entity Vulnerability
Medium
CVE-2020-26064
2020 Nov 04 1.0",Medium,CVE-2020-26064,2020 Nov 04,1.0
"Cisco SD-WAN vManage Software Authorization Bypass Vulnerability
Medium
CVE-2020-3592
2020 Nov 04 1.0",Medium,CVE-2020-3592,2020 Nov 04,1.0
"Cisco SD-WAN vManage Software Path Traversal Vulnerability
Medium
CVE-2020-26065
2020 Nov 04 1.0",Medium,CVE-2020-26065,2020 Nov 04,1.0
"Cisco SD-WAN vManage Software Command Injection Vulnerability
Medium
CVE-2020-27129
2020 Nov 04 1.0",Medium,CVE-2020-27129,2020 Nov 04,1.0
"Cisco SD-WAN vManage Software Arbitrary File Creation Vulnerability
Medium
CVE-2020-27128
2020 Nov 04 1.0",Medium,CVE-2020-27128,2020 Nov 04,1.0
"Cisco TelePresence Collaboration Endpoint Software Information Disclosure Vulnerability
Medium
CVE-2020-26086
2020 Nov 04 1.0",Medium,CVE-2020-26086,2020 Nov 04,1.0
"Cisco Identity Services Engine Cross-Site Scripting Vulnerability
Medium
CVE-2020-26083
2020 Nov 04 1.0",Medium,CVE-2020-26083,2020 Nov 04,1.0
"Cisco Unified Communications Manager IM and Presence Service Denial of Service Vulnerability
Medium
CVE-2020-27121
2020 Nov 04 1.0",Medium,CVE-2020-27121,2020 Nov 04,1.0
"Cisco Email Security Appliance Zip Content Filter Bypass Vulnerability
Medium
CVE-2020-26082
2020 Nov 04 1.0",Medium,CVE-2020-26082,2020 Nov 04,1.0
"Cisco Edge Fog Fabric Resource Exposure Vulnerability
Medium
CVE-2020-26084
2020 Nov 04 1.0",Medium,CVE-2020-26084,2020 Nov 04,1.0
"Cisco Integrated Management Controller Username Enumeration Vulnerability
Medium
CVE-2020-26062
2020 Nov 04 1.0",Medium,CVE-2020-26062,2020 Nov 04,1.0
"Cisco AnyConnect Secure Mobility Client for Windows Arbitrary File Read Vulnerability
Medium
CVE-2020-27123
2020 Nov 04 1.0",Medium,CVE-2020-27123,2020 Nov 04,1.0
"Cisco Integrated Management Controller Command Injection Vulnerability
Medium
CVE-2020-3371
2020 Nov 04 1.0",Medium,CVE-2020-3371,2020 Nov 04,1.0
"Cisco IOS XE Software Arbitrary Code Execution Vulnerability
High
CVE-2020-3417
2020 Nov 02 1.3",High,CVE-2020-3417,2020 Nov 02,1.3
"Cisco Adaptive Security Appliance Software SSL/TLS Denial of Service Vulnerability
High
CVE-2020-27124
2020 Oct 27 1.1",High,CVE-2020-27124,2020 Oct 27,1.1
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software for Firepower 1000/2100 Series Appliances Secure Boot Bypass Vulnerabilities
High
CVE-2020-3458
2020 Oct 23 1.1",High,CVE-2020-3458,2020 Oct 23,1.1
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software Denial of Service Vulnerability
High
CVE-2020-3554
2020 Oct 23 2.1",High,CVE-2020-3554,2020 Oct 23,2.1
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software IP Fragment Memory Leak Vulnerability
High
CVE-2020-3373
2020 Oct 23 2.0",High,CVE-2020-3373,2020 Oct 23,2.0
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software Web Services File Upload Denial of Service Vulnerability
High
CVE-2020-3436
2020 Oct 23 2.0",High,CVE-2020-3436,2020 Oct 23,2.0
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software Web Services Denial of Service Vulnerability
High
CVE-2020-3304
2020 Oct 23 2.0",High,CVE-2020-3304,2020 Oct 23,2.0
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software SSL VPN Direct Memory Access Denial of Service Vulnerability
High
CVE-2020-3529
2020 Oct 23 2.0",High,CVE-2020-3529,2020 Oct 23,2.0
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software OSPFv2 Link-Local Signaling Denial of Service Vulnerability
High
CVE-2020-3528
2020 Oct 23 2.0",High,CVE-2020-3528,2020 Oct 23,2.0
"Cisco FXOS Software Command Injection Vulnerability
Medium
CVE-2020-3457
2020 Oct 23 1.1",Medium,CVE-2020-3457,2020 Oct 23,1.1
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software WebVPN CRLF Injection Vulnerability
Medium
CVE-2020-3561
2020 Oct 23 2.0",Medium,CVE-2020-3561,2020 Oct 23,2.0
"Cisco Adaptive Security Appliance Software Web-Based Management Interface Reflected Cross-Site Scripting Vulnerability
Medium
CVE-2020-3599
2020 Oct 23 2.0",Medium,CVE-2020-3599,2020 Oct 23,2.0
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software SIP Denial of Service Vulnerability
Medium
CVE-2020-3555
2020 Oct 23 2.0",Medium,CVE-2020-3555,2020 Oct 23,2.0
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software FTP Inspection Bypass Vulnerability
Medium
CVE-2020-3564
2020 Oct 23 2.0",Medium,CVE-2020-3564,2020 Oct 23,2.0
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software WebVPN Portal Access Rule Bypass Vulnerability
Medium
CVE-2020-3578
2020 Oct 23 2.0",Medium,CVE-2020-3578,2020 Oct 23,2.0
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software SSL/TLS Session Denial of Service Vulnerability
High
CVE-2020-3572
2020 Oct 22 2.0",High,CVE-2020-3572,2020 Oct 22,2.0
"Cisco FXOS Software Firepower Chassis Manager Cross-Site Request Forgery Vulnerability
High
CVE-2020-3456
2020 Oct 21 1.0",High,CVE-2020-3456,2020 Oct 21,1.0
"Cisco FXOS Software for Firepower 4100/9300 Series Appliances Secure Boot Bypass Vulnerability
High
CVE-2020-3455
2020 Oct 21 1.0",High,CVE-2020-3455,2020 Oct 21,1.0
"Cisco Firepower Management Center Software and Firepower Threat Defense Software sftunnel Pass the Hash Vulnerability
High
CVE-2020-3549
2020 Oct 21 1.0",High,CVE-2020-3549,2020 Oct 21,1.0
"Cisco Firepower Management Center Software Denial of Service Vulnerability
High
CVE-2020-3499
2020 Oct 21 1.0",High,CVE-2020-3499,2020 Oct 21,1.0
"Cisco Firepower Management Center Software and Firepower Threat Defense Software Directory Traversal Vulnerability
High
CVE-2020-3550
2020 Oct 21 1.0",High,CVE-2020-3550,2020 Oct 21,1.0
"Cisco Firepower Threat Defense Software TCP Flood Denial of Service Vulnerability
High
CVE-2020-3563
2020 Oct 21 1.0",High,CVE-2020-3563,2020 Oct 21,1.0
"Cisco Firepower 2100 Series SSL/TLS Inspection Denial of Service Vulnerability
High
CVE-2020-3562
2020 Oct 21 1.0",High,CVE-2020-3562,2020 Oct 21,1.0
"Cisco Firepower Threat Defense Software SNMP Denial of Service Vulnerability
High
CVE-2020-3533
2020 Oct 21 1.0",High,CVE-2020-3533,2020 Oct 21,1.0
"Cisco Firepower Threat Defense Software Inline Pair/Passive Mode Denial of Service Vulnerability
High
CVE-2020-3577
2020 Oct 21 1.0",High,CVE-2020-3577,2020 Oct 21,1.0
"Cisco Firepower 4110 ICMP Flood Denial of Service Vulnerability
High
CVE-2020-3571
2020 Oct 21 1.0",High,CVE-2020-3571,2020 Oct 21,1.0
"Cisco Firepower Threat Defense Software Multi-Instance Container Escape Vulnerability
High
CVE-2020-3514
2020 Oct 21 1.0",High,CVE-2020-3514,2020 Oct 21,1.0
"Cisco Firepower Management Center Software Common Access Card Authentication Bypass Vulnerability
High
CVE-2020-3410
2020 Oct 21 1.0",High,CVE-2020-3410,2020 Oct 21,1.0
"Cisco Firepower Threat Defense Software TCP Intercept Bypass Vulnerability
Medium
CVE-2020-3565
2020 Oct 21 1.0",Medium,CVE-2020-3565,2020 Oct 21,1.0
"Cisco FXOS Software for Firepower 4100/9300 Series Command Injection Vulnerability
Medium
CVE-2020-3459
2020 Oct 21 1.0",Medium,CVE-2020-3459,2020 Oct 21,1.0
"Cisco Firepower Threat Defense Software SSL Input Validation Denial of Service Vulnerability
Medium
CVE-2020-3317
2020 Oct 21 1.0",Medium,CVE-2020-3317,2020 Oct 21,1.0
"Cisco Firepower Threat Defense Software Hidden Commands Vulnerability
Medium
CVE-2020-3352
2020 Oct 21 1.0",Medium,CVE-2020-3352,2020 Oct 21,1.0
"Multiple Cisco Products SNORT HTTP Detection Engine File Policy Bypass Vulnerability
Medium
CVE-2020-3299
2020 Oct 21 1.0",Medium,CVE-2020-3299,2020 Oct 21,1.0
"Cisco Firepower Management Center Software Cross-Site Scripting Vulnerabilities
Medium
CVE-2020-3515
CVE-2020-3553
2020 Oct 21 1.0",Medium,"CVE-2020-3515
CVE-2020-3553",2020 Oct 21,1.0
"Cisco Firepower Management Center Software Open Redirect Vulnerability
Medium
CVE-2020-3558
2020 Oct 21 1.0",Medium,CVE-2020-3558,2020 Oct 21,1.0
"Cisco Firepower Management Center Software Denial of Service Vulnerability
Medium
CVE-2020-3557
2020 Oct 21 1.0",Medium,CVE-2020-3557,2020 Oct 21,1.0
"Cisco Firepower 1000 Series Bleichenbacher Attack Vulnerability
Medium
CVE-2020-3585
2020 Oct 21 1.0",Medium,CVE-2020-3585,2020 Oct 21,1.0
"Cisco IOS XR Software Cisco Discovery Protocol Format String Vulnerability
High
CVE-2020-3118
2020 Oct 20 1.1",High,CVE-2020-3118,2020 Oct 20,1.1
"Cisco Webex Teams Client for Windows DLL Hijacking Vulnerability
High
CVE-2020-3535
2020 Oct 07 1.0",High,CVE-2020-3535,2020 Oct 07,1.0
"Cisco Identity Services Engine Authorization Bypass Vulnerability
High
CVE-2020-3467
2020 Oct 07 1.0",High,CVE-2020-3467,2020 Oct 07,1.0
"Cisco Video Surveillance 8000 Series IP Cameras Cisco Discovery Protocol Remote Code Execution and Denial of Service Vulnerability
High
CVE-2020-3544
2020 Oct 07 1.0",High,CVE-2020-3544,2020 Oct 07,1.0
"Cisco StarOS Privilege Escalation Vulnerability
Medium
CVE-2020-3602
2020 Oct 07 1.0",Medium,CVE-2020-3602,2020 Oct 07,1.0
"Cisco StarOS Privilege Escalation Vulnerability
Medium
CVE-2020-3601
2020 Oct 07 1.0",Medium,CVE-2020-3601,2020 Oct 07,1.0
"Cisco SD-WAN vManage Cross-Site Scripting Vulnerability
Medium
CVE-2020-3536
2020 Oct 07 1.0",Medium,CVE-2020-3536,2020 Oct 07,1.0
"Cisco Nexus Data Broker Software Path Traversal Vulnerability
Medium
CVE-2020-3597
2020 Oct 07 1.0",Medium,CVE-2020-3597,2020 Oct 07,1.0
"Cisco Identity Services Engine Cross-Site Scripting Vulnerability
Medium
CVE-2020-3589
2020 Oct 07 1.0",Medium,CVE-2020-3589,2020 Oct 07,1.0
"Cisco Industrial Network Director Denial of Service Vulnerability
Medium
CVE-2020-3567
2020 Oct 07 1.0",Medium,CVE-2020-3567,2020 Oct 07,1.0
"Cisco Firepower Management Center Cross-Site Scripting Vulnerability
Medium
CVE-2020-3320
2020 Oct 07 1.0",Medium,CVE-2020-3320,2020 Oct 07,1.0
"Cisco Expressway Series and TelePresence Video Communication Server Denial of Service Vulnerability
Medium
CVE-2020-3596
2020 Oct 07 1.0",Medium,CVE-2020-3596,2020 Oct 07,1.0
"Cisco Email Security Appliance URL Filtering Bypass Vulnerability
Medium
CVE-2020-3568
2020 Oct 07 1.0",Medium,CVE-2020-3568,2020 Oct 07,1.0
"Cisco Vision Dynamic Signage Director Missing Authentication Vulnerability
Medium
CVE-2020-3598
2020 Oct 07 1.0",Medium,CVE-2020-3598,2020 Oct 07,1.0
"Cisco Video Surveillance 8000 Series IP Cameras Cisco Discovery Protocol Memory Leak Vulnerability
Medium
CVE-2020-3543
2020 Oct 07 1.0",Medium,CVE-2020-3543,2020 Oct 07,1.0
"Cisco Small Business RV340 Series Routers Command Injection and Remote Code Execution Vulnerabilities
High
CVE-2020-3451
CVE-2020-3453
2020 Sep 30 3.0",High,"CVE-2020-3451
CVE-2020-3453",2020 Sep 30,3.0
"Cisco Aironet Access Points Ethernet Wired Clients Denial of Service Vulnerability
High
CVE-2020-3552
2020 Sep 30 1.1",High,CVE-2020-3552,2020 Sep 30,1.1
"Cisco IOS XR Software DVMRP Memory Exhaustion Vulnerabilities
High
CVE-2020-3566
CVE-2020-3569
2020 Sep 28 2.2",High,"CVE-2020-3566
CVE-2020-3569",2020 Sep 28,2.2
"Cisco IOS XE Software Zone-Based Firewall Denial of Service Vulnerabilities
High
CVE-2020-3421
CVE-2020-3480
2020 Sep 24 1.0",High,"CVE-2020-3421
CVE-2020-3480",2020 Sep 24,1.0
"Cisco IOS XE Wireless Controller Software for the Catalyst 9000 Family WPA Denial of Service Vulnerability
High
CVE-2020-3429
2020 Sep 24 1.0",High,CVE-2020-3429,2020 Sep 24,1.0
"Cisco IOS XE Software Web UI Authorization Bypass Vulnerability
High
CVE-2020-3400
2020 Sep 24 1.0",High,CVE-2020-3400,2020 Sep 24,1.0
"Cisco IOS and IOS XE Software Split DNS Denial of Service Vulnerability
High
CVE-2020-3408
2020 Sep 24 1.0",High,CVE-2020-3408,2020 Sep 24,1.0
"Cisco IOS XE ROM Monitor Software Vulnerability
High
CVE-2020-3524
2020 Sep 24 1.0",High,CVE-2020-3524,2020 Sep 24,1.0
"Cisco IOS XE Software for Catalyst 9800 Series Wireless Controllers Multicast DNS Denial of Service Vulnerability
High
CVE-2020-3359
2020 Sep 24 1.0",High,CVE-2020-3359,2020 Sep 24,1.0
"Cisco IOS XE Software Ethernet Frame Denial of Service Vulnerability
High
CVE-2020-3465
2020 Sep 24 1.0",High,CVE-2020-3465,2020 Sep 24,1.0
"Cisco IOS XE Software IP Service Level Agreements Denial of Service Vulnerability
High
CVE-2020-3422
2020 Sep 24 1.0",High,CVE-2020-3422,2020 Sep 24,1.0
"Cisco IOS XE Software for Catalyst 9800 Series and Cisco AireOS Software for Cisco WLC Flexible NetFlow Version 9 Denial of Service Vulnerability
High
CVE-2020-3492
2020 Sep 24 1.0",High,CVE-2020-3492,2020 Sep 24,1.0
"Cisco IOS XE Software for Catalyst 9200 Series Switches Umbrella Connector Denial of Service Vulnerability
High
CVE-2020-3510
2020 Sep 24 1.0",High,CVE-2020-3510,2020 Sep 24,1.0
"Cisco IOS XE Software for Cisco ASR 900 Series Route Switch Processor 3 Arbitrary Code Execution Vulnerabilities
High
CVE-2020-3416
CVE-2020-3513
2020 Sep 24 1.0",High,"CVE-2020-3416
CVE-2020-3513",2020 Sep 24,1.0
"Cisco IOS and IOS XE Software ISDN Q.931 Denial of Service Vulnerability
High
CVE-2020-3511
2020 Sep 24 1.0",High,CVE-2020-3511,2020 Sep 24,1.0
"Cisco IOS XE Wireless Controller Software for the Catalyst 9000 Family SNMP Trap Denial of Service Vulnerability
High
CVE-2020-3390
2020 Sep 24 1.0",High,CVE-2020-3390,2020 Sep 24,1.0
"Cisco IOS XE Software for Cisco cBR-8 Converged Broadband Routers DHCP Denial of Service Vulnerability
High
CVE-2020-3509
2020 Sep 24 1.0",High,CVE-2020-3509,2020 Sep 24,1.0
"Cisco IOS XE Software Privilege Escalation Vulnerabilities
High
CVE-2020-3141
CVE-2020-3425
2020 Sep 24 1.0",High,"CVE-2020-3141
CVE-2020-3425",2020 Sep 24,1.0
"Cisco IOS Software for Cisco Industrial Routers Virtual-LPWA Unauthorized Access Vulnerability
High
CVE-2020-3426
2020 Sep 24 1.0",High,CVE-2020-3426,2020 Sep 24,1.0
"Cisco IOS XE Software for Cisco ASR 1000 Series 20-Gbps Embedded Services Processor IP ARP Denial of Service Vulnerability
High
CVE-2020-3508
2020 Sep 24 1.0",High,CVE-2020-3508,2020 Sep 24,1.0
"Cisco IOS XE Wireless Controller Software for the Catalyst 9000 Family WLAN Local Profiling Denial of Service Vulnerability
High
CVE-2020-3428
2020 Sep 24 1.0",High,CVE-2020-3428,2020 Sep 24,1.0
"Cisco IOS XE Software RESTCONF and NETCONF-YANG Access Control List Denial of Service Vulnerability
High
CVE-2020-3407
2020 Sep 24 1.0",High,CVE-2020-3407,2020 Sep 24,1.0
"Cisco IOS XE Wireless Controller Software for the Catalyst 9000 Family CAPWAP Denial of Service Vulnerabilities
High
CVE-2020-3486
CVE-2020-3487 ...
2020 Sep 24 1.0",High,"CVE-2020-3486
CVE-2020-3487 ...",2020 Sep 24,1.0
"Cisco IOS XE Wireless Controller Software for the Catalyst 9000 Family CAPWAP Denial of Service Vulnerability
High
CVE-2020-3399
2020 Sep 24 1.0",High,CVE-2020-3399,2020 Sep 24,1.0
"Cisco Aironet Access Points UDP Flooding Denial of Service Vulnerability
High
CVE-2020-3560
2020 Sep 24 1.0",High,CVE-2020-3560,2020 Sep 24,1.0
"Cisco Catalyst 9200 Series Switches Jumbo Frame Denial of Service Vulnerability
High
CVE-2020-3527
2020 Sep 24 1.0",High,CVE-2020-3527,2020 Sep 24,1.0
